timestep,displacement_am
584,0.480610
585,0.719983
586,0.901522
587,0.999704
588,1.015659
589,0.963872
590,0.853510
591,0.698662
592,0.472161
593,0.190516
594,-0.142368
595,-0.473543
596,-0.733107
597,-0.931068
598,-1.029964
599,-1.086162
600,-1.095758
601,-1.014577
602,-0.870138
603,-0.617707
604,-0.319374
605,-0.011712
606,0.298083
607,0.573653
608,0.803091
609,0.981892
610,1.085364
611,1.119439
612,1.105624
613,0.992406
614,0.787223
615,0.509740
616,0.199269
617,-0.081787
618,-0.323855
619,-0.571700
620,-0.838743
621,-1.039549
622,-1.133948
623,-1.103565
624,-0.969193
625,-0.820702
626,-0.646491
627,-0.398285
628,-0.094699
629,0.220516
630,0.491956
631,0.722562
632,0.912934
633,1.020438
634,1.055120
635,1.011944
636,0.891622
637,0.757993
638,0.561245
639,0.237039
640,-0.096135
641,-0.351724
642,-0.567422
643,-0.746887
644,-0.914534
645,-1.043857
646,-1.039274
647,-0.932836
648,-0.782947
649,-0.598424
650,-0.371454
651,-0.094887
652,0.183921
653,0.405439
654,0.620336
655,0.859692
656,1.013225
657,1.020534
658,0.926866
659,0.807872
660,0.674464
661,0.477264
662,0.199008
663,-0.136365
664,-0.430129
665,-0.630592
666,-0.814770
667,-0.974708
668,-1.030722
669,-1.011503
670,-0.934508
671,-0.757948
672,-0.521024
673,-0.262807
674,0.031836
675,0.306416
676,0.509683
677,0.704690
678,0.900168
679,1.011493
680,1.039546
681,1.002659
682,0.866365
683,0.670013
684,0.478048
685,0.240382
686,-0.077960
687,-0.384379
688,-0.633784
689,-0.845303
690,-0.986938
691,-1.030771
692,-1.019773
693,-0.968303
694,-0.827262
695,-0.617013
696,-0.378525
697,-0.099491
698,0.183438
699,0.404411
700,0.598754
701,0.817452
702,0.993549
703,1.055051
704,1.025286
705,0.936030
706,0.794465
707,0.612758
708,0.392044
709,0.141416
710,-0.117581
711,-0.374415
712,-0.610561
713,-0.805292
714,-0.958733
715,-1.051220
716,-1.061807
717,-1.006944
718,-0.880412
719,-0.664495
720,-0.385391
721,-0.079787
722,0.224207
723,0.498530
724,0.742807
725,0.956566
726,1.097250
727,1.131230
728,1.059768
729,0.895016
730,0.671709
731,0.432326
732,0.171580
733,-0.132475
734,-0.429819
735,-0.641292
736,-0.780716
737,-0.905053
738,-0.982893
739,-0.968337
740,-0.902430
741,-0.795360
742,-0.591322
743,-0.313713
744,-0.033996
745,0.249094
746,0.538667
747,0.781321
748,0.947944
749,1.037644
750,1.024769
751,0.895989
752,0.683442
753,0.425471
754,0.149520
755,-0.116142
756,-0.352259
757,-0.544761
758,-0.669394
759,-0.720793
760,-0.735668
761,-0.737371
762,-0.700596
763,-0.605558
764,-0.464139
765,-0.282257
766,-0.062081
767,0.171836
768,0.388898
769,0.570451
770,0.705428
771,0.781600
772,0.778426
773,0.690968
774,0.549921
775,0.383105
776,0.200387
777,0.028240
778,-0.115036
779,-0.255572
780,-0.407443
781,-0.538471
782,-0.625428
783,-0.672179
784,-0.674092
785,-0.619651
786,-0.504946
787,-0.330480
788,-0.110614
789,0.114804
790,0.311022
791,0.478536
792,0.634805
793,0.768462
794,0.851041
795,0.875044
796,0.853207
797,0.787696
798,0.671192
799,0.499783
800,0.273351
801,0.011486
802,-0.257214
803,-0.506816
804,-0.723938
805,-0.888202
806,-0.992558
807,-1.039152
808,-1.021886
809,-0.934823
810,-0.779378
811,-0.564414
812,-0.291289
813,0.003761
814,0.290186
815,0.558569
816,0.800643
817,0.974370
818,1.066920
819,1.097213
820,1.067153
821,0.972438
822,0.814655
823,0.595253
824,0.291656
825,-0.050038
826,-0.395492
827,-0.715401
828,-0.984598
829,-1.173203
830,-1.250623
831,-1.236171
832,-1.100098
833,-0.899745
834,-0.667420
835,-0.397685
836,-0.104059
837,0.227953
838,0.541951
839,0.855676
840,1.108690
841,1.272002
842,1.359414
843,1.317220
844,1.163713
845,0.885194
846,0.527283
847,0.113957
848,-0.308548
849,-0.673675
850,-0.986227
851,-1.236413
852,-1.402840
853,-1.458115
854,-1.388388
855,-1.193464
856,-0.895956
857,-0.519824
858,-0.082303
859,0.373965
860,0.803111
861,1.160966
862,1.413126
863,1.557060
864,1.589291
865,1.521310
866,1.329430
867,1.005033
868,0.587268
869,0.104294
870,-0.390554
871,-0.856565
872,-1.263558
873,-1.584524
874,-1.778060
875,-1.826509
876,-1.746175
877,-1.544853
878,-1.236705
879,-0.816560
880,-0.309634
881,0.240780
882,0.778662
883,1.241067
884,1.594135
885,1.821231
886,1.903192
887,1.842379
888,1.641319
889,1.310317
890,0.883919
891,0.386333
892,-0.134140
893,-0.626875
894,-1.062966
895,-1.424616
896,-1.668531
897,-1.782879
898,-1.754411
899,-1.588497
900,-1.301964
901,-0.934148
902,-0.507684
903,-0.043642
904,0.422906
905,0.852460
906,1.208012
907,1.474476
908,1.635353
909,1.680341
910,1.602664
911,1.392244
912,1.057343
913,0.655125
914,0.223994
915,-0.224879
916,-0.658758
917,-1.052106
918,-1.362527
919,-1.528794
920,-1.566115
921,-1.494789
922,-1.322998
923,-1.069850
924,-0.727059
925,-0.324446
926,0.079003
927,0.469978
928,0.800799
929,1.068026
930,1.262244
931,1.334935
932,1.302078
933,1.175749
934,0.935860
935,0.622983
936,0.257479
937,-0.142081
938,-0.514459
939,-0.835145
940,-1.081750
941,-1.240437
942,-1.311927
943,-1.289395
944,-1.176326
945,-0.978778
946,-0.677348
947,-0.316079
948,0.058354
949,0.415730
950,0.731339
951,0.985153
952,1.175363
953,1.277116
954,1.263488
955,1.137809
956,0.921395
957,0.647638
958,0.348639
959,0.037958
960,-0.279491
961,-0.595089
962,-0.881930
963,-1.104806
964,-1.234454
965,-1.280561
966,-1.251217
967,-1.135813
968,-0.936858
969,-0.667581
970,-0.352443
971,-0.012462
972,0.328898
973,0.649963
974,0.922962
975,1.112053
976,1.221083
977,1.253778
978,1.203690
979,1.090740
980,0.888907
981,0.621924
982,0.296588
983,-0.057384
984,-0.397489
985,-0.700937
986,-0.952151
987,-1.159761
988,-1.281285
989,-1.313712
990,-1.249297
991,-1.081475
992,-0.844643
993,-0.550460
994,-0.198511
995,0.179775
996,0.565960
997,0.897322
998,1.138359
999,1.287867
1000,1.345721
1001,1.316306
1002,1.198841
1003,0.957615
1004,0.626816
1005,0.258544
1006,-0.127433
1007,-0.470129
1008,-0.765501
1009,-1.021480
1010,-1.201791
1011,-1.286191
1012,-1.271901
1013,-1.145694
1014,-0.951871
1015,-0.711456
1016,-0.427193
1017,-0.116629
1018,0.217664
1019,0.549682
1020,0.842502
1021,1.071905
1022,1.231418
1023,1.311943
1024,1.304117
1025,1.193505
1026,0.966179
1027,0.637528
1028,0.231418
1029,-0.212799
1030,-0.652468
1031,-1.030181
1032,-1.326970
1033,-1.537839
1034,-1.614645
1035,-1.570135
1036,-1.404153
1037,-1.104721
1038,-0.727270
1039,-0.332589
1040,0.080315
1041,0.472183
1042,0.830685
1043,1.163293
1044,1.415172
1045,1.552484
1046,1.601224
1047,1.526603
1048,1.319711
1049,1.038510
1050,0.669342
1051,0.222669
1052,-0.246365
1053,-0.714848
1054,-1.133052
1055,-1.441530
1056,-1.652541
1057,-1.731063
1058,-1.656118
1059,-1.470878
1060,-1.174033
1061,-0.750910
1062,-0.270795
1063,0.200524
1064,0.640213
1065,1.028464
1066,1.359961
1067,1.594144
1068,1.683518
1069,1.628857
1070,1.432592
1071,1.114607
1072,0.727066
1073,0.293910
1074,-0.170410
1075,-0.612174
1076,-0.938010
1077,-1.160745
1078,-1.308095
1079,-1.341058
1080,-1.249036
1081,-1.054531
1082,-0.787693
1083,-0.507792
1084,-0.263118
1085,-0.024461
1086,0.225910
1087,0.459552
1088,0.660472
1089,0.804720
1090,0.887213
1091,0.958347
1092,1.027324
1093,1.009145
1094,0.886388
1095,0.718700
1096,0.483405
1097,0.158202
1098,-0.179389
1099,-0.499785
1100,-0.809352
1101,-1.057809
1102,-1.216673
1103,-1.287320
1104,-1.248101
1105,-1.074593
1106,-0.805075
1107,-0.477997
1108,-0.107023
1109,0.287576
1110,0.673624
1111,1.016071
1112,1.260037
1113,1.356261
1114,1.337738
1115,1.221924
1116,1.010236
1117,0.733509
1118,0.425190
1119,0.090591
1120,-0.251694
1121,-0.554868
1122,-0.833033
1123,-1.055495
1124,-1.178703
1125,-1.201781
1126,-1.149488
1127,-0.992299
1128,-0.711147
1129,-0.373484
1130,-0.022110
1131,0.307288
1132,0.571699
1133,0.763463
1134,0.911427
1135,1.024382
1136,1.045452
1137,0.974402
1138,0.838570
1139,0.652131
1140,0.429629
1141,0.177088
1142,-0.099752
1143,-0.387741
1144,-0.632599
1145,-0.795009
1146,-0.899028
1147,-0.932386
1148,-0.877791
1149,-0.752852
1150,-0.573229
1151,-0.371313
1152,-0.147041
1153,0.084208
1154,0.315345
1155,0.517813
1156,0.655301
1157,0.761041
1158,0.819040
1159,0.821386
1160,0.763383
1161,0.633720
1162,0.465770
1163,0.263865
1164,0.045003
1165,-0.162261
1166,-0.321291
1167,-0.427536
1168,-0.523201
1169,-0.582536
1170,-0.590518
1171,-0.576050
1172,-0.514658
1173,-0.397805
1174,-0.244949
1175,-0.089342
1176,0.061819
1177,0.220367
1178,0.360691
1179,0.469669
1180,0.532581
1181,0.548951
1182,0.547470
1183,0.535028
1184,0.477818
1185,0.354386
1186,0.171114
1187,-0.019279
1188,-0.183960
1189,-0.316822
1190,-0.418317
1191,-0.498390
1192,-0.555892
1193,-0.573775
1194,-0.553080
1195,-0.504776
1196,-0.441450
1197,-0.368602
1198,-0.268221
1199,-0.135003
1200,-0.015870
1201,0.068674
1202,0.122878
1203,0.173734
1204,0.236046
1205,0.302319
1206,0.371371
1207,0.422855
1208,0.438285
1209,0.404370
1210,0.315517
1211,0.223497
1212,0.144821
1213,0.054619
1214,-0.037964
1215,-0.126762
1216,-0.215463
1217,-0.289940
1218,-0.308337
1219,-0.280513
1220,-0.217772
1221,-0.141646
1222,-0.059794
1223,0.012750
1224,0.068206
1225,0.115005
1226,0.125824
1227,0.140890
1228,0.177821
1229,0.221898
1230,0.236150
1231,0.219869
1232,0.165236
1233,0.076217
1234,-0.016460
1235,-0.096658
1236,-0.130545
1237,-0.150739
1238,-0.174163
1239,-0.185370
1240,-0.188162
1241,-0.154289
1242,-0.097491
1243,-0.056892
1244,-0.019826
1245,0.009573
1246,0.055035
1247,0.119387
1248,0.160109
1249,0.194113
1250,0.174817
1251,0.122941
1252,0.079476
1253,0.024723
1254,-0.001896
1255,-0.029192
1256,-0.048170
1257,-0.036495
1258,-0.039064
1259,-0.056713
1260,-0.100914
1261,-0.144311
1262,-0.133917
1263,-0.093038
1264,-0.036242
1265,0.021307
1266,0.037884
1267,0.060648
1268,0.103313
1269,0.149238
1270,0.233109
1271,0.318030
1272,0.380520
1273,0.390606
1274,0.346706
1275,0.287334
1276,0.237182
1277,0.181681
1278,0.106952
1279,0.002136
1280,-0.141705
1281,-0.279594
1282,-0.396770
1283,-0.459128
1284,-0.463946
1285,-0.446812
1286,-0.409184
1287,-0.347945
1288,-0.288914
1289,-0.206427
1290,-0.100775
1291,0.010991
1292,0.144313
1293,0.270819
1294,0.368164
1295,0.437146
1296,0.494344
1297,0.561276
1298,0.625948
1299,0.662641
1300,0.635877
1301,0.533971
1302,0.372267
1303,0.181246
1304,-0.021420
1305,-0.234284
1306,-0.470869
1307,-0.729656
1308,-0.957335
1309,-1.079981
1310,-1.074403
1311,-0.964494
1312,-0.772546
1313,-0.523482
1314,-0.240878
1315,0.071320
1316,0.396310
1317,0.674649
1318,0.920089
1319,1.107632
1320,1.188375
1321,1.177883
1322,1.061786
1323,0.853921
1324,0.600682
1325,0.308697
1326,0.024384
1327,-0.249370
1328,-0.511730
1329,-0.724460
1330,-0.875812
1331,-0.967280
1332,-0.999790
1333,-0.983175
1334,-0.918808
1335,-0.781632
1336,-0.592441
1337,-0.366102
1338,-0.130068
1339,0.103244
1340,0.343191
1341,0.580077
1342,0.814268
1343,1.002853
1344,1.108813
1345,1.136151
1346,1.058647
1347,0.892160
1348,0.642602
1349,0.307849
1350,-0.061180
1351,-0.433748
1352,-0.782594
1353,-1.053919
1354,-1.222894
1355,-1.272497
1356,-1.196626
1357,-1.053335
1358,-0.861316
1359,-0.612205
1360,-0.326412
1361,0.008811
1362,0.365079
1363,0.672264
1364,0.923011
1365,1.111504
1366,1.226128
1367,1.282803
1368,1.258590
1369,1.098102
1370,0.829693
1371,0.498196
1372,0.148673
1373,-0.185296
1374,-0.501260
1375,-0.803633
1376,-1.067558
1377,-1.246139
1378,-1.324793
1379,-1.301211
1380,-1.188902
1381,-1.003349
1382,-0.751383
1383,-0.437468
1384,-0.073086
1385,0.306080
1386,0.652637
1387,0.925229
1388,1.110493
1389,1.210840
1390,1.229705
1391,1.190229
1392,1.059078
1393,0.838018
1394,0.559263
1395,0.248112
1396,-0.072995
1397,-0.391957
1398,-0.680883
1399,-0.956902
1400,-1.173033
1401,-1.277092
1402,-1.287326
1403,-1.203469
1404,-1.030975
1405,-0.790547
1406,-0.510748
1407,-0.184125
1408,0.165092
1409,0.487418
1410,0.791361
1411,1.039841
1412,1.219412
1413,1.339785
1414,1.363084
1415,1.259533
1416,1.035309
1417,0.706822
1418,0.326000
1419,-0.047224
1420,-0.393220
1421,-0.693642
1422,-0.917700
1423,-1.073260
1424,-1.153337
1425,-1.146220
1426,-1.083786
1427,-0.962937
1428,-0.779064
1429,-0.543846
1430,-0.275079
1431,0.022821
1432,0.315412
1433,0.570568
1434,0.779769
1435,0.931999
1436,1.012639
1437,1.041462
1438,1.025186
1439,0.968252
1440,0.859779
1441,0.669949
1442,0.397573
1443,0.060552
1444,-0.299517
1445,-0.628709
1446,-0.891005
1447,-1.065639
1448,-1.145170
1449,-1.109536
1450,-0.992269
1451,-0.820727
1452,-0.602828
1453,-0.371526
1454,-0.110259
1455,0.176685
1456,0.486284
1457,0.770784
1458,1.018096
1459,1.194980
1460,1.253998
1461,1.210783
1462,1.049665
1463,0.789112
1464,0.476446
1465,0.131316
1466,-0.229225
1467,-0.574572
1468,-0.892155
1469,-1.166868
1470,-1.334325
1471,-1.369121
1472,-1.287398
1473,-1.075789
1474,-0.782297
1475,-0.449610
1476,-0.077252
1477,0.301612
1478,0.642828
1479,0.931778
1480,1.162529
1481,1.297859
1482,1.342523
1483,1.290878
1484,1.102379
1485,0.806149
1486,0.434306
1487,0.028560
1488,-0.352564
1489,-0.675933
1490,-0.939502
1491,-1.131449
1492,-1.244227
1493,-1.290264
1494,-1.240286
1495,-1.068386
1496,-0.801306
1497,-0.477416
1498,-0.111940
1499,0.249529
1500,0.584050
1501,0.879587
1502,1.085185
1503,1.191903
1504,1.216773
1505,1.163208
1506,1.049206
1507,0.875195
1508,0.612468
1509,0.263741
1510,-0.121879
1511,-0.477069
1512,-0.768898
1513,-0.980960
1514,-1.111560
1515,-1.160914
1516,-1.126458
1517,-1.021327
1518,-0.840773
1519,-0.580237
1520,-0.268180
1521,0.074247
1522,0.429972
1523,0.744585
1524,0.981096
1525,1.114110
1526,1.151016
1527,1.120143
1528,1.028265
1529,0.876750
1530,0.664002
1531,0.398584
1532,0.093590
1533,-0.216628
1534,-0.495245
1535,-0.731371
1536,-0.904235
1537,-0.999496
1538,-1.011198
1539,-0.953937
1540,-0.830086
1541,-0.661239
1542,-0.456734
1543,-0.194838
1544,0.107718
1545,0.398902
1546,0.633400
1547,0.804854
1548,0.896333
1549,0.915765
1550,0.857204
1551,0.746673
1552,0.592805
1553,0.398884
1554,0.165537
1555,-0.090060
1556,-0.348203
1557,-0.593959
1558,-0.796173
1559,-0.904673
1560,-0.920422
1561,-0.888378
1562,-0.821399
1563,-0.710690
1564,-0.557269
1565,-0.355668
1566,-0.099473
1567,0.181914
1568,0.435389
1569,0.634305
1570,0.798655
1571,0.923107
1572,1.004921
1573,1.052189
1574,1.069346
1575,1.022953
1576,0.889088
1577,0.661865
1578,0.381677
1579,0.093197
1580,-0.202095
1581,-0.485102
1582,-0.717198
1583,-0.900312
1584,-1.046055
1585,-1.123550
1586,-1.110055
1587,-1.011343
1588,-0.848937
1589,-0.604148
1590,-0.311299
1591,-0.027462
1592,0.227113
1593,0.473184
1594,0.719051
1595,0.920844
1596,1.046628
1597,1.105119
1598,1.089254
1599,0.949419
1600,0.709432
1601,0.438509
1602,0.160608
1603,-0.134746
1604,-0.424818
1605,-0.652840
1606,-0.829678
1607,-0.989509
1608,-1.105392
1609,-1.122298
1610,-1.027596
1611,-0.871142
1612,-0.661309
1613,-0.405870
1614,-0.117636
1615,0.182313
1616,0.491640
1617,0.794129
1618,1.010215
1619,1.131533
1620,1.142868
1621,1.061714
1622,0.912742
1623,0.690650
1624,0.440064
1625,0.166145
1626,-0.136302
1627,-0.450275
1628,-0.750300
1629,-0.995051
1630,-1.165731
1631,-1.228704
1632,-1.169782
1633,-1.035381
1634,-0.859868
1635,-0.640965
1636,-0.376028
1637,-0.040490
1638,0.327430
1639,0.675763
1640,0.966515
1641,1.140337
1642,1.201681
1643,1.130976
1644,0.942657
1645,0.680703
1646,0.369425
1647,0.012505
1648,-0.364034
1649,-0.718504
1650,-0.998213
1651,-1.183887
1652,-1.269267
1653,-1.212728
1654,-1.059731
1655,-0.840973
1656,-0.604202
1657,-0.368731
1658,-0.105720
1659,0.197211
1660,0.511435
1661,0.777651
1662,0.986903
1663,1.139567
1664,1.186193
1665,1.124980
1666,0.970685
1667,0.722447
1668,0.386048
1669,-0.010969
1670,-0.397071
1671,-0.711782
1672,-0.937856
1673,-1.071321
1674,-1.102592
1675,-1.055200
1676,-0.942407
1677,-0.781413
1678,-0.569182
1679,-0.312949
1680,-0.026088
1681,0.250153
1682,0.494031
1683,0.675791
1684,0.804683
1685,0.913649
1686,0.965903
1687,0.948047
1688,0.860149
1689,0.677258
1690,0.405479
1691,0.068158
1692,-0.276516
1693,-0.538064
1694,-0.713365
1695,-0.796354
1696,-0.776677
1697,-0.715107
1698,-0.631662
1699,-0.537711
1700,-0.430338
1701,-0.291153
1702,-0.139850
1703,0.006260
1704,0.143990
1705,0.285074
1706,0.429269
1707,0.579499
1708,0.701995
1709,0.757680
1710,0.702817
1711,0.550983
1712,0.376391
1713,0.188335
1714,0.010124
1715,-0.123858
1716,-0.232966
1717,-0.317011
1718,-0.379678
1719,-0.433361
1720,-0.466373
1721,-0.482713
1722,-0.470729
1723,-0.398673
1724,-0.287906
1725,-0.158567
1726,0.016801
1727,0.192807
1728,0.361146
1729,0.492090
1730,0.540043
1731,0.519941
1732,0.432654
1733,0.348262
1734,0.306939
1735,0.266661
1736,0.188268
1737,0.087575
1738,-0.046923
1739,-0.213916
1740,-0.361460
1741,-0.489994
1742,-0.592148
1743,-0.643084
1744,-0.640968
1745,-0.574351
1746,-0.451063
1747,-0.286877
1748,-0.108194
1749,0.056032
1750,0.185040
1751,0.299724
1752,0.420312
1753,0.533396
1754,0.624422
1755,0.686045
1756,0.655733
1757,0.531435
1758,0.377191
1759,0.233833
1760,0.113873
