timestep,charge_level,psiL_am,amplitudeL_am,frequency_rHz
656,0.433835,-0.834924,0.779948,0.008321
657,0.433835,-0.710601,0.780233,0.008321
658,0.433835,-0.514852,0.779900,0.008321
659,0.433835,-0.261213,0.778799,0.008321
660,0.584281,0.014251,0.777069,0.008321
661,0.584281,0.266717,0.775125,0.008368
662,0.584281,0.462944,0.773414,0.008368
663,0.584281,0.594694,0.772173,0.008368
664,0.584281,0.676852,0.771387,0.008368
665,0.584281,0.732157,0.770943,0.008368
666,0.584281,0.772629,0.770754,0.008368
667,0.584281,0.789898,0.770763,0.008368
668,0.584281,0.759865,0.770860,0.008368
669,0.584281,0.658513,0.770806,0.008368
670,0.584281,0.478647,0.770285,0.008368
671,0.584281,0.239678,0.769102,0.008368
672,0.584281,-0.016235,0.767364,0.008368
673,0.584281,-0.241442,0.765444,0.008368
674,0.584281,-0.407065,0.763719,0.008368
675,0.584281,-0.517530,0.762351,0.008368
676,0.584281,-0.599618,0.761322,0.008368
677,0.584281,-0.672172,0.760600,0.008368
678,0.584281,-0.726886,0.760183,0.008368
679,0.584281,-0.740030,0.760020,0.008368
680,0.584281,-0.697589,0.759922,0.008368
681,0.584281,-0.602906,0.759623,0.008368
682,0.584281,-0.464899,0.758920,0.008368
683,0.584281,-0.292114,0.757733,0.008368
684,0.584281,-0.100592,0.756119,0.008368
685,0.584281,0.084187,0.754260,0.008368
686,0.584281,0.242994,0.752395,0.008432
687,0.584281,0.378026,0.750709,0.008432
688,0.584281,0.509664,0.749306,0.008432
689,0.584281,0.660212,0.748299,0.008432
690,0.584281,0.834842,0.747885,0.008432
691,0.584281,1.005880,0.748344,0.008432
692,0.584281,1.114554,0.749852,0.008432
693,0.584281,1.105280,0.752116,0.008432
694,0.584281,0.972360,0.754293,0.008432
695,0.584281,0.765811,0.755540,0.008432
696,0.584281,0.538332,0.755592,0.008432
697,0.584281,0.294585,0.754661,0.008432
698,0.584281,0.006734,0.753060,0.008432
699,0.584281,-0.329035,0.751175,0.008432
700,0.584281,-0.673300,0.749656,0.008432
701,0.584281,-0.976411,0.749294,0.008432
702,0.584281,-1.207117,0.750600,0.008432
703,0.584281,-1.346653,0.753571,0.008432
704,0.584281,-1.380715,0.757692,0.008432
705,0.584281,-1.309163,0.762075,0.008432
706,0.584281,-1.147135,0.765784,0.008432
707,0.584281,-0.908450,0.768161,0.008432
708,0.584281,-0.604010,0.768927,0.008432
709,0.584281,-0.259482,0.768190,0.008432
710,0.584281,0.089411,0.766487,0.008432
711,0.584281,0.428101,0.764594,0.008492
712,0.584281,0.763722,0.763281,0.008492
713,0.584281,1.078784,0.763283,0.008492
714,0.584281,1.309386,0.765184,0.008492
715,0.584281,1.395128,0.768864,0.008492
716,0.584281,1.338305,0.773258,0.008492
717,0.584281,1.193802,0.777106,0.008492
718,0.584281,1.008675,0.779744,0.008492
719,0.584281,0.786664,0.781055,0.008492
720,0.707851,0.503518,0.781083,0.008492
721,0.707851,0.141306,0.779941,0.008492
722,0.707851,-0.285270,0.778053,0.008492
723,0.707851,-0.719421,0.776368,0.008492
724,0.707851,-1.082373,0.776093,0.008492
725,0.707851,-1.317563,0.777925,0.008492
726,0.707851,-1.419049,0.781550,0.008492
727,0.707851,-1.415311,0.786025,0.008492
728,0.707851,-1.332448,0.790419,0.008492
729,0.707851,-1.175546,0.794050,0.008492
730,0.707851,-0.933910,0.796412,0.008492
731,0.707851,-0.597839,0.797158,0.008492
732,0.707851,-0.177537,0.796286,0.008492
733,0.707851,0.287907,0.794392,0.008492
734,0.707851,0.743941,0.792665,0.008592
735,0.707851,1.141463,0.792429,0.008592
736,0.707851,1.441321,0.794555,0.008592
737,0.707851,1.611274,0.799092,0.008592
738,0.707851,1.637988,0.805194,0.008592
739,0.707851,1.538524,0.811486,0.008592
740,0.707851,1.340400,0.816733,0.008592
741,0.707851,1.048185,0.820184,0.008592
742,0.707851,0.647950,0.821481,0.008592
743,0.707851,0.146060,0.820705,0.008592
744,0.707851,-0.409691,0.818716,0.008592
745,0.707851,-0.945911,0.817180,0.008592
746,0.707851,-1.390576,0.817874,0.008592
747,0.707851,-1.692672,0.821731,0.008592
748,0.707851,-1.838894,0.828367,0.008592
749,0.707851,-1.854534,0.836462,0.008592
750,0.707851,-1.771250,0.844610,0.008592
751,0.707851,-1.588675,0.851755,0.008592
752,0.707851,-1.275664,0.857017,0.008592
753,0.707851,-0.812456,0.859617,0.008592
754,0.707851,-0.231195,0.859388,0.008592
755,0.707851,0.382419,0.857393,0.008592
756,0.707851,0.929403,0.855674,0.008710
757,0.707851,1.351506,0.856058,0.008710
758,0.707851,1.654153,0.859247,0.008710
759,0.707851,1.871499,0.865040,0.008710
760,0.707851,2.007454,0.872964,0.008710
761,0.707851,2.019818,0.882272,0.008710
762,0.707851,1.861784,0.891578,0.008710
763,0.707851,1.528527,0.899037,0.008710
764,0.707851,1.063662,0.903276,0.008710
765,0.707851,0.534487,0.904149,0.008710
766,0.707851,0.004347,0.902677,0.008710
767,0.707851,-0.487401,0.900418,0.008710
768,0.707851,-0.930081,0.898825,0.008710
769,0.707851,-1.321384,0.898984,0.008710
770,0.707851,-1.640939,0.901589,0.008710
771,0.707851,-1.849938,0.906786,0.008710
772,0.707851,-1.914565,0.913926,0.008710
773,0.707851,-1.823523,0.921636,0.008710
774,0.707851,-1.588846,0.928327,0.008710
775,0.707851,-1.242142,0.932794,0.008710
776,0.707851,-0.829192,0.934596,0.008710
777,0.707851,-0.395535,0.934098,0.008710
778,0.707851,0.029868,0.932180,0.008710
779,0.707851,0.435737,0.929849,0.008798
780,0.793458,0.814782,0.928033,0.008798
781,0.793458,1.147800,0.927501,0.008798
782,0.793458,1.394695,0.928733,0.008798
783,0.793458,1.506490,0.931642,0.008798
784,0.793458,1.462882,0.935396,0.008798
785,0.793458,1.299369,0.938771,0.008798
786,0.793458,1.081122,0.940917,0.008798
787,0.793458,0.846000,0.941670,0.008798
788,0.793458,0.583861,0.941216,0.008798
789,0.793458,0.272729,0.939768,0.008798
790,0.793458,-0.077810,0.937614,0.008798
791,0.793458,-0.420085,0.935283,0.008798
792,0.793458,-0.693667,0.933414,0.008798
793,0.793458,-0.858691,0.932369,0.008798
794,0.793458,-0.916613,0.932015,0.008798
795,0.793458,-0.901695,0.931939,0.008798
796,0.793458,-0.847351,0.931790,0.008798
797,0.793458,-0.761165,0.931387,0.008798
798,0.793458,-0.629402,0.930613,0.008798
799,0.793458,-0.437799,0.929350,0.008798
800,0.793458,-0.193304,0.927540,0.008798
801,0.793458,0.063806,0.925320,0.008798
802,0.793458,0.273762,0.923014,0.008882
803,0.793458,0.398721,0.920907,0.008882
804,0.793458,0.452082,0.919035,0.008882
805,0.793458,0.475842,0.917292,0.008882
806,0.793458,0.490044,0.915614,0.008882
807,0.793458,0.473961,0.913979,0.008882
808,0.793458,0.394017,0.912307,0.008882
809,0.793458,0.241184,0.910450,0.008882
810,0.793458,0.046371,0.908331,0.008882
811,0.793458,-0.136026,0.906063,0.008882
812,0.793458,-0.266614,0.903846,0.008882
813,0.793458,-0.347689,0.901781,0.008882
