timestep,charge_level
662,1.022681
663,1.022681
664,1.022681
665,1.022681
666,1.022681
667,1.022681
668,1.022681
669,1.022681
670,1.022681
671,1.022681
672,1.022681
673,1.022681
674,1.022681
675,1.022681
676,1.022681
677,1.022681
678,1.022681
679,1.022681
680,1.022681
681,1.022681
682,1.022681
683,1.022681
684,1.022681
685,1.022681
686,1.022681
687,1.022681
688,1.022681
689,1.022681
690,1.022681
691,1.022681
692,1.022681
693,1.022681
694,1.022681
695,1.022681
696,1.022681
697,1.022681
698,1.022681
699,1.022681
700,1.022681
701,1.022681
702,1.022681
703,1.022681
704,1.022681
705,1.022681
706,1.022681
707,1.022681
708,1.022681
709,1.022681
710,1.022681
711,1.022681
712,1.022681
713,1.022681
714,1.022681
715,1.022681
716,1.022681
717,1.022681
718,1.022681
719,1.022681
720,1.207931
721,1.207931
722,1.207931
723,1.207931
724,1.207931
725,1.207931
726,1.207931
727,1.207931
728,1.207931
729,1.207931
730,1.207931
731,1.207931
732,1.207931
733,1.207931
734,1.207931
735,1.207931
736,1.207931
737,1.207931
738,1.207931
739,1.207931
740,1.207931
741,1.207931
742,1.207931
743,1.207931
744,1.207931
745,1.207931
746,1.207931
747,1.207931
748,1.207931
749,1.207931
750,1.207931
751,1.207931
752,1.207931
753,1.207931
754,1.207931
755,1.207931
756,1.207931
757,1.207931
758,1.207931
759,1.207931
760,1.207931
761,1.207931
762,1.207931
763,1.207931
764,1.207931
765,1.207931
766,1.207931
767,1.207931
768,1.207931
769,1.207931
770,1.207931
771,1.207931
772,1.207931
773,1.207931
774,1.207931
775,1.207931
776,1.207931
777,1.207931
778,1.207931
779,1.207931
780,1.040587
781,1.040587
782,1.040587
783,1.040587
784,1.040587
785,1.040587
786,1.040587
787,1.040587
788,1.040587
789,1.040587
790,1.040587
791,1.040587
792,1.040587
793,1.040587
794,1.040587
795,1.040587
796,1.040587
797,1.040587
798,1.040587
799,1.040587
800,1.040587
801,1.040587
802,1.040587
803,1.040587
804,1.040587
805,1.040587
806,1.040587
807,1.040587
808,1.040587
809,1.040587
810,1.040587
811,1.040587
812,1.040587
813,1.040587
814,1.040587
815,1.040587
816,1.040587
817,1.040587
818,1.040587
819,1.040587
820,1.040587
821,1.040587
822,1.040587
823,1.040587
824,1.040587
825,1.040587
826,1.040587
827,1.040587
828,1.040587
829,1.040587
830,1.040587
831,1.040587
832,1.040587
833,1.040587
834,1.040587
835,1.040587
836,1.040587
837,1.040587
838,1.040587
839,1.040587
840,0.924226
841,0.924226
842,0.924226
843,0.924226
844,0.924226
