timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
114,0.062500,-0.013844,1.874472,0.233977,0.561764,0.002737
115,0.062500,-0.001168,1.615214,0.233394,0.575821,0.002737
116,0.062500,0.007016,1.313861,0.232809,0.585625,0.002737
117,0.062500,0.010126,0.977200,0.232227,0.591500,0.003120
118,0.062500,0.008480,0.613589,0.231647,0.594052,0.003120
119,0.062500,0.002985,0.232614,0.231068,0.594151,0.003120
120,0.062500,-0.004687,-0.155330,0.230490,0.592892,0.003120
121,0.062500,-0.013009,-0.539493,0.229913,0.591510,0.003120
122,0.062500,-0.019985,-0.909285,0.229339,0.591262,0.003120
123,0.062500,-0.024804,-1.254742,0.228770,0.593276,0.003120
124,0.062500,-0.026448,-1.566992,0.228204,0.598405,0.003120
125,0.062500,-0.025264,-1.838607,0.227640,0.607104,0.003120
126,0.062500,-0.021741,-2.063930,0.227077,0.619383,0.003120
127,0.062500,-0.016413,-2.239227,0.226514,0.634835,0.003120
128,0.062500,-0.010215,-2.362766,0.225950,0.652741,0.003120
129,0.062500,-0.003264,-2.434787,0.225386,0.672201,0.003120
130,0.062500,0.004156,-2.457354,0.224822,0.692269,0.003120
131,0.062500,0.011371,-2.434124,0.224259,0.712062,0.003743
132,0.062500,0.017935,-2.370050,0.223699,0.730837,0.003743
133,0.062500,0.022865,-2.271044,0.223143,0.748022,0.003743
134,0.062500,0.025272,-2.143615,0.222590,0.763235,0.003743
135,0.062500,0.025308,-1.994519,0.222040,0.776267,0.003743
136,0.062500,0.023238,-1.830448,0.221492,0.787063,0.003743
137,0.062500,0.019175,-1.657718,0.220943,0.795691,0.003743
138,0.062500,0.013635,-1.482081,0.220394,0.802308,0.003743
139,0.062500,0.006813,-1.308528,0.219845,0.807132,0.003743
140,0.062500,-0.001121,-1.141208,0.219295,0.810411,0.003743
141,0.062500,-0.008957,-0.983369,0.218746,0.812400,0.003743
142,0.062500,-0.015527,-0.837389,0.218200,0.813345,0.003743
143,0.062500,-0.020642,-0.704802,0.217656,0.813467,0.003743
144,0.062500,-0.024117,-0.586410,0.217116,0.812960,0.003743
145,0.062500,-0.025503,-0.482374,0.216579,0.811984,0.003743
146,0.062500,-0.024706,-0.392333,0.216045,0.810669,0.003743
147,0.062500,-0.021630,-0.315541,0.215511,0.809116,0.003743
148,0.062500,-0.016200,-0.250973,0.214977,0.807399,0.003743
149,0.062500,-0.009342,-0.197418,0.214442,0.805573,0.003743
150,0.062500,-0.002177,-0.153593,0.213906,0.803678,0.003743
151,0.062500,0.005157,-0.118193,0.213371,0.801740,0.003743
152,0.062500,0.012537,-0.089964,0.212837,0.799777,0.004076
153,0.062500,0.018796,-0.067738,0.212306,0.797800,0.004076
154,0.062500,0.023055,-0.050451,0.211779,0.795818,0.004076
155,0.062500,0.025158,-0.037170,0.211255,0.793834,0.004076
156,0.062500,0.025027,-0.027092,0.210734,0.791851,0.004076
157,0.062500,0.022640,-0.019535,0.210214,0.789871,0.004076
158,0.062500,0.018322,-0.013932,0.209694,0.787895,0.004076
159,0.062500,0.012316,-0.009830,0.209173,0.785924,0.004076
160,0.062500,0.005041,-0.006861,0.208651,0.783957,0.004076
161,0.062500,-0.002426,-0.004740,0.208129,0.781995,0.004076
162,0.062500,-0.008803,-0.003238,0.207608,0.780037,0.004076
163,0.062500,-0.013086,-0.002185,0.207089,0.778085,0.004076
164,0.062500,-0.013984,-0.001463,0.206573,0.776137,0.004076
165,0.062500,-0.009781,-0.000967,0.206058,0.774194,0.004076
166,0.062500,0.001242,-0.000632,0.205544,0.772256,0.004076
167,0.062500,0.020796,-0.000411,0.205029,0.770323,0.004600
168,0.062500,0.050350,-0.000265,0.204521,0.768395,0.004600
169,0.062500,0.090165,-0.000165,0.204041,0.766472,0.004600
170,0.062500,0.138857,-0.000102,0.203630,0.764553,0.004600
171,0.062500,0.192902,-0.000066,0.203357,0.762639,0.004600
172,0.062500,0.245551,-0.000041,0.203306,0.760730,0.004600
173,0.062500,0.286090,-0.000024,0.203539,0.758826,0.004600
174,0.062500,0.300623,-0.000013,0.204035,0.756927,0.004600
175,0.062500,0.273381,-0.000008,0.204631,0.755032,0.004600
176,0.062500,0.189616,-0.000006,0.205033,0.753142,0.004600
177,0.062500,0.039974,-0.000003,0.204958,0.751257,0.004600
178,0.062500,-0.174708,-0.000003,0.204465,0.749377,0.004600
179,0.062500,-0.439663,0.000001,0.204327,0.747501,0.004600
180,0.062500,-0.723571,0.000001,0.206173,0.745630,0.004600
181,0.062500,-0.979858,-0.000000,0.211926,0.743763,0.004600
182,0.062500,-1.153671,-0.000001,0.222460,0.741901,0.004600
183,0.062500,-1.193096,0.000001,0.236423,0.740044,0.004600
184,0.062500,-1.062851,0.000000,0.250467,0.738192,0.004600
185,0.062500,-0.757519,-0.000001,0.260899,0.736344,0.004600
186,0.062500,-0.309486,-0.000001,0.265701,0.734501,0.004600
187,0.062500,0.212995,0.000001,0.265938,0.732662,0.004600
188,0.062500,0.718143,0.000001,0.265700,0.730829,0.004890
189,0.062500,1.111940,-0.000000,0.269856,0.728999,0.004890
190,0.062500,1.323811,-0.000002,0.280428,0.727174,0.004890
191,0.062500,1.327143,-0.000000,0.294973,0.725354,0.004890
192,0.062500,1.146698,0.000000,0.308838,0.723538,0.004890
193,0.062500,0.849087,0.000000,0.318557,0.721727,0.004890
194,0.062500,0.518793,-0.000000,0.323382,0.719921,0.004890
195,0.062500,0.227720,0.000001,0.324651,0.718119,0.004890
196,0.062500,0.010589,-0.000001,0.324239,0.716321,0.004890
197,0.062500,-0.142538,0.000000,0.323428,0.714528,0.004890
198,0.062500,-0.273111,0.000002,0.322776,0.712740,0.004890
199,0.062500,-0.425548,0.000001,0.322547,0.710956,0.004890
200,0.062500,-0.616736,-0.000001,0.323143,0.709176,0.004890
201,0.062500,-0.819591,0.000001,0.325271,0.707401,0.004890
202,0.062500,-0.970636,0.000001,0.329592,0.705630,0.004890
203,0.062500,-0.998962,-0.000001,0.335855,0.703864,0.004890
204,0.062500,-0.863381,-0.000003,0.342380,0.702102,0.004890
205,0.062500,-0.577892,0.000001,0.346937,0.700344,0.004890
206,0.062500,-0.210185,0.000001,0.348473,0.698591,0.004890
207,0.062500,0.147464,-0.000001,0.347918,0.696843,0.004890
208,0.062500,0.420002,-0.000000,0.347204,0.695098,0.005191
209,0.062500,0.581431,0.000000,0.347606,0.693358,0.005191
210,0.062500,0.659271,0.000000,0.349164,0.691623,0.005191
211,0.062500,0.707952,0.000000,0.351396,0.689892,0.005191
212,0.062500,0.767210,0.000000,0.354073,0.688165,0.005191
213,0.062500,0.831903,0.000001,0.357329,0.686442,0.005191
214,0.062500,0.852512,-0.000000,0.361256,0.684724,0.005191
215,0.062500,0.767183,0.000001,0.365359,0.683010,0.005191
216,0.062500,0.546045,0.000002,0.368460,0.681300,0.005191
217,0.062500,0.218821,-0.000000,0.369560,0.679595,0.005191
218,0.062500,-0.134214,-0.000002,0.368960,0.677894,0.005191
219,0.062500,-0.423540,0.000001,0.368159,0.676197,0.005191
220,0.062500,-0.597548,0.000002,0.368456,0.674504,0.005191
221,0.062500,-0.665232,0.000000,0.369955,0.672816,0.005191
222,0.062500,-0.679355,-0.000002,0.372015,0.671132,0.005191
223,0.062500,-0.691463,-0.000001,0.374180,0.669452,0.005191
224,0.062500,-0.710630,0.000003,0.376432,0.667776,0.005191
225,0.062500,-0.696038,-0.000001,0.378837,0.666105,0.005191
226,0.062500,-0.589178,-0.000003,0.381081,0.664437,0.005191
227,0.062500,-0.362911,-0.000001,0.382403,0.662774,0.005191
228,0.062500,-0.051395,0.000002,0.382308,0.661115,0.005191
229,0.062500,0.262782,0.000001,0.381368,0.659460,0.005191
230,0.062500,0.496495,-0.000000,0.380867,0.657810,0.005428
231,0.062500,0.614873,0.000001,0.381532,0.656163,0.005428
232,0.062500,0.645030,-0.000000,0.383053,0.654521,0.005428
233,0.062500,0.645189,0.000000,0.384807,0.652882,0.005428
234,0.062500,0.652956,-0.000000,0.386545,0.651248,0.005428
235,0.062500,0.653183,-0.000000,0.388332,0.649618,0.005428
236,0.062500,0.591346,-0.000000,0.390104,0.647992,0.005428
237,0.062500,0.422227,0.000000,0.391368,0.646370,0.005428
238,0.062500,0.154855,-0.000001,0.391528,0.644752,0.005428
239,0.062500,-0.142531,-0.000000,0.390701,0.643138,0.005428
240,0.062500,-0.384146,0.000000,0.389854,0.641528,0.005428
241,0.062500,-0.522639,0.000001,0.389825,0.639922,0.005428
242,0.062500,-0.575416,-0.000001,0.390602,0.638320,0.005428
243,0.062500,-0.600447,0.000001,0.391743,0.636723,0.005428
244,0.062500,-0.642189,0.000001,0.393062,0.635129,0.005428
245,0.062500,-0.691677,-0.000001,0.394699,0.633539,0.005428
246,0.062500,-0.694155,-0.000001,0.396737,0.631953,0.005428
247,0.062500,-0.597694,0.000001,0.398777,0.630371,0.005428
248,0.062500,-0.401594,0.000001,0.400017,0.628793,0.005428
249,0.062500,-0.162864,-0.000000,0.400025,0.627220,0.005428
250,0.062500,0.045281,0.000000,0.399190,0.625650,0.005428
251,0.062500,0.187124,0.000000,0.398204,0.624083,0.005676
252,0.062500,0.285142,0.000001,0.397427,0.622521,0.005676
253,0.062500,0.390150,-0.000001,0.396945,0.620963,0.005676
254,0.062500,0.527342,0.000000,0.396911,0.619409,0.005676
255,0.062500,0.666609,0.000001,0.397670,0.617858,0.005676
256,0.062500,0.744580,-0.000001,0.399465,0.616312,0.005676
257,0.062500,0.718643,-0.000000,0.401928,0.614769,0.005676
258,0.062500,0.605193,0.000001,0.404130,0.613230,0.005676
259,0.062500,0.467713,0.000001,0.405383,0.611695,0.005676
260,0.062500,0.364687,-0.000000,0.405719,0.610164,0.005676
261,0.062500,0.302949,0.000000,0.405524,0.608637,0.005676
262,0.062500,0.238088,-0.000000,0.405076,0.607113,0.005676
